IMAGE = 701 	| PSNR = 34.78248882354048	| SSIM = 0.8976631192466348
IMAGE = 702 	| PSNR = 34.20553502153275	| SSIM = 0.8904261229569401
IMAGE = 703 	| PSNR = 35.54691699646064	| SSIM = 0.8936914287873403
IMAGE = 704 	| PSNR = 35.11115225654811	| SSIM = 0.8742294381990058
IMAGE = 705 	| PSNR = 34.361325352173935	| SSIM = 0.8308253588553566
IMAGE = 706 	| PSNR = 36.558949846539676	| SSIM = 0.902618397656698
IMAGE = 707 	| PSNR = 31.460446934982187	| SSIM = 0.9053962636640032
IMAGE = 708 	| PSNR = 36.15765583114275	| SSIM = 0.9480596638891635
IMAGE = 709 	| PSNR = 35.70319085363338	| SSIM = 0.9503241457624162
IMAGE = 710 	| PSNR = 33.57933330557097	| SSIM = 0.8453056017093727
IMAGE = 711 	| PSNR = 35.752291985853354	| SSIM = 0.9274434441842179
IMAGE = 712 	| PSNR = 35.20993914818571	| SSIM = 0.8675732567660855
IMAGE = 713 	| PSNR = 35.0399228399577	| SSIM = 0.9194788904526534
IMAGE = 714 	| PSNR = 35.77831665609401	| SSIM = 0.923519665521762
IMAGE = 715 	| PSNR = 36.28771749957742	| SSIM = 0.9271579314298536
IMAGE = 716 	| PSNR = 36.264123800715005	| SSIM = 0.90240302470927
IMAGE = 717 	| PSNR = 36.325037582498304	| SSIM = 0.9228923731455149
IMAGE = 718 	| PSNR = 35.35615433281423	| SSIM = 0.9698619126090291
IMAGE = 719 	| PSNR = 31.175002197502923	| SSIM = 0.9448957881660958
IMAGE = 720 	| PSNR = 35.10724819652309	| SSIM = 0.9697332643500443
IMAGE = 721 	| PSNR = 32.11872971609479	| SSIM = 0.9432483649056617
IMAGE = 722 	| PSNR = 34.898016493424066	| SSIM = 0.953424919141887
IMAGE = 723 	| PSNR = 34.403006146750684	| SSIM = 0.9219262936105971
IMAGE = 724 	| PSNR = 34.14255559143791	| SSIM = 0.9053592734335916
IMAGE = 725 	| PSNR = 35.30805843348346	| SSIM = 0.8636042016994022
IMAGE = 726 	| PSNR = 35.12372105428872	| SSIM = 0.932061090737174
IMAGE = 727 	| PSNR = 36.04215641910622	| SSIM = 0.9260862287698073
IMAGE = 728 	| PSNR = 36.10331528490336	| SSIM = 0.9276126197144405
IMAGE = 729 	| PSNR = 35.32603956209294	| SSIM = 0.9719828290416526
IMAGE = 730 	| PSNR = 35.30265093745646	| SSIM = 0.9676488765028981
IMAGE = 731 	| PSNR = 31.691223329896502	| SSIM = 0.9523793681566021
IMAGE = 732 	| PSNR = 32.58768001016578	| SSIM = 0.9593799122255949
IMAGE = 733 	| PSNR = 34.710671285874	| SSIM = 0.9534620658465731
IMAGE = 734 	| PSNR = 34.27352512816714	| SSIM = 0.9244268554212327
IMAGE = 735 	| PSNR = 34.01187996853345	| SSIM = 0.9061392329086514
IMAGE = 736 	| PSNR = 35.434297718750614	| SSIM = 0.9326394528290572
IMAGE = 737 	| PSNR = 36.30825640459075	| SSIM = 0.9280423214510553
IMAGE = 738 	| PSNR = 34.44789767618025	| SSIM = 0.8593680170917677
IMAGE = 739 	| PSNR = 35.542839664875025	| SSIM = 0.9086490252906692
IMAGE = 740 	| PSNR = 35.409031257874794	| SSIM = 0.9638579943801941
IMAGE = 741 	| PSNR = 35.70276143657115	| SSIM = 0.9453433855375917
IMAGE = 742 	| PSNR = 35.48231229720633	| SSIM = 0.9181875370615848
IMAGE = 743 	| PSNR = 33.25317715529808	| SSIM = 0.9514987645695998
IMAGE = 744 	| PSNR = 31.728981482240712	| SSIM = 0.9534296293015613
IMAGE = 745 	| PSNR = 35.86134085835726	| SSIM = 0.901457688999587
IMAGE = 746 	| PSNR = 35.64382070806662	| SSIM = 0.9045141836881864
IMAGE = 747 	| PSNR = 36.44426739337754	| SSIM = 0.9285235662850393
IMAGE = 748 	| PSNR = 36.1414799912987	| SSIM = 0.9060167344572989
IMAGE = 749 	| PSNR = 35.53166976954118	| SSIM = 0.8754001589170504
IMAGE = 750 	| PSNR = 35.48986230877466	| SSIM = 0.9341927264352137
-----------------------------
=>> MEAN PSNR = 34.884559498930514 	 =>> MEAN SSIM = 0.9206672482094537
