IMAGE = 701 	| PSNR = 28.875623676999954	| SSIM = 0.7932931757461
IMAGE = 702 	| PSNR = 28.77079865110664	| SSIM = 0.8052906308748383
IMAGE = 703 	| PSNR = 30.323975522342167	| SSIM = 0.7988898566151931
IMAGE = 704 	| PSNR = 30.007282325327537	| SSIM = 0.7579432379475138
IMAGE = 705 	| PSNR = 30.14783823297813	| SSIM = 0.7168980005330595
IMAGE = 706 	| PSNR = 31.191545280508066	| SSIM = 0.8078954950994229
IMAGE = 707 	| PSNR = 26.24833077885093	| SSIM = 0.7527098850975861
IMAGE = 708 	| PSNR = 30.812719543129653	| SSIM = 0.8749902192795695
IMAGE = 709 	| PSNR = 30.063220309348985	| SSIM = 0.8736462514197428
IMAGE = 710 	| PSNR = 27.231019117634695	| SSIM = 0.7129478618572848
IMAGE = 711 	| PSNR = 30.47411745486301	| SSIM = 0.8482902348736009
IMAGE = 712 	| PSNR = 29.489215729195003	| SSIM = 0.7512704594943149
IMAGE = 713 	| PSNR = 29.505062791963606	| SSIM = 0.8344946005676941
IMAGE = 714 	| PSNR = 30.48965854939441	| SSIM = 0.8409283611770833
IMAGE = 715 	| PSNR = 31.12588859022282	| SSIM = 0.8367906658985953
IMAGE = 716 	| PSNR = 31.0931683338716	| SSIM = 0.8044306571147501
IMAGE = 717 	| PSNR = 29.647600435003696	| SSIM = 0.7941077595367962
IMAGE = 718 	| PSNR = 29.1331514656377	| SSIM = 0.8793078092424592
IMAGE = 719 	| PSNR = 24.786564722853758	| SSIM = 0.748061724972033
IMAGE = 720 	| PSNR = 28.824098122281562	| SSIM = 0.8825893098457753
IMAGE = 721 	| PSNR = 24.98045861772457	| SSIM = 0.766184478738644
IMAGE = 722 	| PSNR = 29.368810146339165	| SSIM = 0.8728077889095472
IMAGE = 723 	| PSNR = 29.32631745118726	| SSIM = 0.8356386281851287
IMAGE = 724 	| PSNR = 29.520870539296208	| SSIM = 0.8209151653929232
IMAGE = 725 	| PSNR = 29.79678786625894	| SSIM = 0.7454415254398746
IMAGE = 726 	| PSNR = 30.28044522464853	| SSIM = 0.8397340719643954
IMAGE = 727 	| PSNR = 29.953168576353953	| SSIM = 0.8099955544266573
IMAGE = 728 	| PSNR = 28.733706229552787	| SSIM = 0.778224754980583
IMAGE = 729 	| PSNR = 28.480595861647977	| SSIM = 0.8554477524351212
IMAGE = 730 	| PSNR = 28.348502513880977	| SSIM = 0.8572670505734217
IMAGE = 731 	| PSNR = 24.769072113879083	| SSIM = 0.7972928576336996
IMAGE = 732 	| PSNR = 24.77403886645827	| SSIM = 0.7695843322511947
IMAGE = 733 	| PSNR = 28.936934466470614	| SSIM = 0.8627462305847404
IMAGE = 734 	| PSNR = 29.037089639203128	| SSIM = 0.833743571961882
IMAGE = 735 	| PSNR = 29.357582120189065	| SSIM = 0.8258064969212088
IMAGE = 736 	| PSNR = 30.172665106140116	| SSIM = 0.8322907894069909
IMAGE = 737 	| PSNR = 29.88115531560701	| SSIM = 0.8058845496661642
IMAGE = 738 	| PSNR = 29.32875815433607	| SSIM = 0.7530724144929636
IMAGE = 739 	| PSNR = 28.702605823882074	| SSIM = 0.7724956188963582
IMAGE = 740 	| PSNR = 28.25183664161706	| SSIM = 0.8265303346075378
IMAGE = 741 	| PSNR = 28.78246794389906	| SSIM = 0.8327155173980524
IMAGE = 742 	| PSNR = 29.74803024429057	| SSIM = 0.8308212765213426
IMAGE = 743 	| PSNR = 25.56151616144642	| SSIM = 0.777741671590912
IMAGE = 744 	| PSNR = 24.79312575820209	| SSIM = 0.7988941803756735
IMAGE = 745 	| PSNR = 30.811164926925944	| SSIM = 0.8208474600623067
IMAGE = 746 	| PSNR = 30.849624829469263	| SSIM = 0.8279222661512123
IMAGE = 747 	| PSNR = 30.863094892157935	| SSIM = 0.834811969639382
IMAGE = 748 	| PSNR = 30.280323471422513	| SSIM = 0.7959222420357791
IMAGE = 749 	| PSNR = 29.51813097680641	| SSIM = 0.7512142808367941
IMAGE = 750 	| PSNR = 28.216467849338528	| SSIM = 0.7976590752719842
-----------------------------
=>> MEAN PSNR = 28.99332455924291 	 =>> MEAN SSIM = 0.8088886020909177
