IMAGE = 701 	| PSNR = 31.832064490452137	| SSIM = 0.8671181556006868
IMAGE = 702 	| PSNR = 31.554468323253758	| SSIM = 0.8625072850164794
IMAGE = 703 	| PSNR = 33.704218084632664	| SSIM = 0.8790269613243927
IMAGE = 704 	| PSNR = 33.28985964938602	| SSIM = 0.8525687702978378
IMAGE = 705 	| PSNR = 33.0738953015441	| SSIM = 0.8101736130484426
IMAGE = 706 	| PSNR = 35.02315072341259	| SSIM = 0.8892950293870533
IMAGE = 707 	| PSNR = 27.52570186155054	| SSIM = 0.814800713328634
IMAGE = 708 	| PSNR = 34.657296962135405	| SSIM = 0.9349937763369789
IMAGE = 709 	| PSNR = 33.839469579879086	| SSIM = 0.9332000256756637
IMAGE = 710 	| PSNR = 29.86973645160342	| SSIM = 0.8103698536063382
IMAGE = 711 	| PSNR = 33.868092201265945	| SSIM = 0.9108850430767753
IMAGE = 712 	| PSNR = 32.63454999068748	| SSIM = 0.8360320872099735
IMAGE = 713 	| PSNR = 32.48236510656159	| SSIM = 0.8947801805918887
IMAGE = 714 	| PSNR = 33.190876157230655	| SSIM = 0.9004681498541058
IMAGE = 715 	| PSNR = 34.32087123970362	| SSIM = 0.9085586625099061
IMAGE = 716 	| PSNR = 34.49340721329016	| SSIM = 0.8842859666196838
IMAGE = 717 	| PSNR = 33.37453146632073	| SSIM = 0.8901473953058301
IMAGE = 718 	| PSNR = 32.81764415911704	| SSIM = 0.943132255344117
IMAGE = 719 	| PSNR = 26.055016846949357	| SSIM = 0.8030206106969626
IMAGE = 720 	| PSNR = 32.6388440257536	| SSIM = 0.9466640695330186
IMAGE = 721 	| PSNR = 27.156074165104258	| SSIM = 0.8500985517440002
IMAGE = 722 	| PSNR = 32.87566589561433	| SSIM = 0.9314389527351229
IMAGE = 723 	| PSNR = 32.227206930298735	| SSIM = 0.8966074854567507
IMAGE = 724 	| PSNR = 31.903396337666837	| SSIM = 0.8796645493512649
IMAGE = 725 	| PSNR = 32.741836187396856	| SSIM = 0.8379589813155909
IMAGE = 726 	| PSNR = 32.97623343996434	| SSIM = 0.9043909155343334
IMAGE = 727 	| PSNR = 33.119585003835454	| SSIM = 0.8961250765283824
IMAGE = 728 	| PSNR = 32.53750657228111	| SSIM = 0.8837834925393242
IMAGE = 729 	| PSNR = 32.30668195571965	| SSIM = 0.931429920196356
IMAGE = 730 	| PSNR = 32.39293971174475	| SSIM = 0.9327899625445085
IMAGE = 731 	| PSNR = 26.61835825407618	| SSIM = 0.851497857217067
IMAGE = 732 	| PSNR = 26.794515451171673	| SSIM = 0.846949869975433
IMAGE = 733 	| PSNR = 32.50897654585191	| SSIM = 0.9273114544346376
IMAGE = 734 	| PSNR = 32.09349655577435	| SSIM = 0.898368766317898
IMAGE = 735 	| PSNR = 31.9286748197664	| SSIM = 0.8813929499222987
IMAGE = 736 	| PSNR = 33.04035050220929	| SSIM = 0.9013547519227906
IMAGE = 737 	| PSNR = 32.93730775040117	| SSIM = 0.893388981403353
IMAGE = 738 	| PSNR = 31.783000341034455	| SSIM = 0.8345619142144983
IMAGE = 739 	| PSNR = 32.48974029567166	| SSIM = 0.8741935101554561
IMAGE = 740 	| PSNR = 31.79596288905539	| SSIM = 0.9110491236151642
IMAGE = 741 	| PSNR = 32.563895064963916	| SSIM = 0.9073451117982072
IMAGE = 742 	| PSNR = 32.9170079849351	| SSIM = 0.8903967336772831
IMAGE = 743 	| PSNR = 27.75954219933724	| SSIM = 0.8533122697939017
IMAGE = 744 	| PSNR = 26.474215988103367	| SSIM = 0.847230244547997
IMAGE = 745 	| PSNR = 34.06810534377913	| SSIM = 0.8859756505152966
IMAGE = 746 	| PSNR = 33.91982039032244	| SSIM = 0.8876575532853369
IMAGE = 747 	| PSNR = 34.04956103989791	| SSIM = 0.9041838875678161
IMAGE = 748 	| PSNR = 33.163854017756464	| SSIM = 0.876088518732953
IMAGE = 749 	| PSNR = 33.07582338515445	| SSIM = 0.850520679149601
IMAGE = 750 	| PSNR = 31.524884526442666	| SSIM = 0.8854477334214725
-----------------------------
=>> MEAN PSNR = 32.03980558760123 	 =>> MEAN SSIM = 0.8824908810795775
