IMAGE = 701 	| PSNR = 5.485988373535237	| SSIM = 0.162094850066817
IMAGE = 702 	| PSNR = 5.445717179747477	| SSIM = 0.19857994359842343
IMAGE = 703 	| PSNR = 5.78956245573808	| SSIM = 0.17476256521186964
IMAGE = 704 	| PSNR = 7.219765944381501	| SSIM = 0.13756757884157095
IMAGE = 705 	| PSNR = 8.361522961326664	| SSIM = 0.15291020595846033
IMAGE = 706 	| PSNR = 8.614728843120695	| SSIM = 0.14388896865741044
IMAGE = 707 	| PSNR = 7.011323975418228	| SSIM = 0.15230328366999024
IMAGE = 708 	| PSNR = 7.4510311733103665	| SSIM = 0.13365242312431072
IMAGE = 709 	| PSNR = 6.84825575333759	| SSIM = 0.16085614128914938
IMAGE = 710 	| PSNR = 8.43708323232048	| SSIM = 0.14094485572043705
IMAGE = 711 	| PSNR = 6.748486179143066	| SSIM = 0.16960380150956786
IMAGE = 712 	| PSNR = 7.69503384170109	| SSIM = 0.15081556815598657
IMAGE = 713 	| PSNR = 6.805857399430205	| SSIM = 0.20392533149277425
IMAGE = 714 	| PSNR = 6.957968551951627	| SSIM = 0.1925262864564405
IMAGE = 715 	| PSNR = 7.302713661675007	| SSIM = 0.168558317624233
IMAGE = 716 	| PSNR = 8.200872630547241	| SSIM = 0.1637512012054731
IMAGE = 717 	| PSNR = 8.010461911635945	| SSIM = 0.15034274914067372
IMAGE = 718 	| PSNR = 6.545355612194218	| SSIM = 0.14955310848286335
IMAGE = 719 	| PSNR = 7.430490365197745	| SSIM = 0.13495542476699712
IMAGE = 720 	| PSNR = 6.7723956274535215	| SSIM = 0.1605436269401655
IMAGE = 721 	| PSNR = 6.820298408730442	| SSIM = 0.1243929638102018
IMAGE = 722 	| PSNR = 6.665417140725074	| SSIM = 0.1650669897095493
IMAGE = 723 	| PSNR = 6.273197149400323	| SSIM = 0.16321224846417265
IMAGE = 724 	| PSNR = 6.06492426340997	| SSIM = 0.18320374273216825
IMAGE = 725 	| PSNR = 6.973137581170104	| SSIM = 0.15426604450713743
IMAGE = 726 	| PSNR = 6.195432901297183	| SSIM = 0.1618089899605481
IMAGE = 727 	| PSNR = 7.711324368099658	| SSIM = 0.1617529282007435
IMAGE = 728 	| PSNR = 8.081175948907193	| SSIM = 0.12009483315664858
IMAGE = 729 	| PSNR = 6.201650501446586	| SSIM = 0.14589306604721625
IMAGE = 730 	| PSNR = 6.599041434370285	| SSIM = 0.13659349732285686
IMAGE = 731 	| PSNR = 6.5543223927963705	| SSIM = 0.08802867219052739
IMAGE = 732 	| PSNR = 6.783762628396248	| SSIM = 0.1335214272077144
IMAGE = 733 	| PSNR = 6.754774155741169	| SSIM = 0.1414785704997319
IMAGE = 734 	| PSNR = 6.3153503691535064	| SSIM = 0.15933795554590283
IMAGE = 735 	| PSNR = 5.956700390987537	| SSIM = 0.17239570704339433
IMAGE = 736 	| PSNR = 6.070625300185043	| SSIM = 0.1498190858683731
IMAGE = 737 	| PSNR = 7.590072634643933	| SSIM = 0.15580298916059235
IMAGE = 738 	| PSNR = 6.634515000254022	| SSIM = 0.13798514839063464
IMAGE = 739 	| PSNR = 8.114702410897701	| SSIM = 0.1305131708464349
IMAGE = 740 	| PSNR = 6.575451045420831	| SSIM = 0.13574623258781976
IMAGE = 741 	| PSNR = 6.645851301128536	| SSIM = 0.15798161953494194
IMAGE = 742 	| PSNR = 6.713019768545446	| SSIM = 0.1755209605558184
IMAGE = 743 	| PSNR = 6.735281765704929	| SSIM = 0.12813736681664137
IMAGE = 744 	| PSNR = 6.548341252915804	| SSIM = 0.08935784939818608
IMAGE = 745 	| PSNR = 6.689467089398712	| SSIM = 0.1854751042417134
IMAGE = 746 	| PSNR = 6.674279820428363	| SSIM = 0.19620838442965177
IMAGE = 747 	| PSNR = 6.831432352357404	| SSIM = 0.16568837893676155
IMAGE = 748 	| PSNR = 8.052713809925944	| SSIM = 0.1688609001377873
IMAGE = 749 	| PSNR = 8.584233691661563	| SSIM = 0.1481135176430193
IMAGE = 750 	| PSNR = 7.205445531674909	| SSIM = 0.11444756050292847
-----------------------------
=>> MEAN PSNR = 6.9750111616588155 	 =>> MEAN SSIM = 0.15305684274726863
