IMAGE = 701 	| PSNR = 6.635186774393256	| SSIM = 0.09986104485605114
IMAGE = 702 	| PSNR = 7.707705194740761	| SSIM = 0.10811110628311138
IMAGE = 703 	| PSNR = 8.723986404583425	| SSIM = 0.1268197431936906
IMAGE = 704 	| PSNR = 8.751232657963342	| SSIM = 0.08051315169398335
IMAGE = 705 	| PSNR = 8.507335535565971	| SSIM = 0.05878270550366234
IMAGE = 706 	| PSNR = 8.749652640150293	| SSIM = 0.05530640520583654
IMAGE = 707 	| PSNR = 7.818678609071085	| SSIM = 0.06818022176477045
IMAGE = 708 	| PSNR = 8.608469289201276	| SSIM = 0.07502627086052709
IMAGE = 709 	| PSNR = 8.027808572327803	| SSIM = 0.08210506497484431
IMAGE = 710 	| PSNR = 8.154709347777626	| SSIM = 0.05403393361169036
IMAGE = 711 	| PSNR = 7.916873371391321	| SSIM = 0.06007517627549843
IMAGE = 712 	| PSNR = 7.296522388713381	| SSIM = 0.05565946516436232
IMAGE = 713 	| PSNR = 7.597883536754359	| SSIM = 0.07204447233217529
IMAGE = 714 	| PSNR = 8.160121655601522	| SSIM = 0.07134564264263177
IMAGE = 715 	| PSNR = 8.486275020799415	| SSIM = 0.0548163050056553
IMAGE = 716 	| PSNR = 8.74507287565954	| SSIM = 0.048919901856939105
IMAGE = 717 	| PSNR = 8.583110423761525	| SSIM = 0.04959663328226996
IMAGE = 718 	| PSNR = 7.781179942024622	| SSIM = 0.05532864598511985
IMAGE = 719 	| PSNR = 7.502957174325596	| SSIM = 0.05499759483248688
IMAGE = 720 	| PSNR = 7.580254424398881	| SSIM = 0.062261851227867065
IMAGE = 721 	| PSNR = 7.399496530710742	| SSIM = 0.05699563268809568
IMAGE = 722 	| PSNR = 7.865869546098873	| SSIM = 0.06425279917964256
IMAGE = 723 	| PSNR = 7.5134553274116165	| SSIM = 0.06985471450053714
IMAGE = 724 	| PSNR = 7.50612546395817	| SSIM = 0.06683290646376767
IMAGE = 725 	| PSNR = 6.632404428345947	| SSIM = 0.06880139667331107
IMAGE = 726 	| PSNR = 7.4634964376940625	| SSIM = 0.059156857142072805
IMAGE = 727 	| PSNR = 8.547016964424158	| SSIM = 0.04706745957000216
IMAGE = 728 	| PSNR = 8.80099214177119	| SSIM = 0.06045774825473753
IMAGE = 729 	| PSNR = 7.550321236888972	| SSIM = 0.04574648952641412
IMAGE = 730 	| PSNR = 7.519805081863426	| SSIM = 0.05359090647649824
IMAGE = 731 	| PSNR = 7.104945165096083	| SSIM = 0.04922184587573105
IMAGE = 732 	| PSNR = 7.38780602303682	| SSIM = 0.056530897612765856
IMAGE = 733 	| PSNR = 7.805191861644854	| SSIM = 0.07025084105080913
IMAGE = 734 	| PSNR = 7.776560560890546	| SSIM = 0.0924845361962506
IMAGE = 735 	| PSNR = 7.448317706259763	| SSIM = 0.06905803683102733
IMAGE = 736 	| PSNR = 7.14563313736546	| SSIM = 0.05610275584827682
IMAGE = 737 	| PSNR = 8.551635784796428	| SSIM = 0.05020231156353819
IMAGE = 738 	| PSNR = 7.022258049173448	| SSIM = 0.06339168296658898
IMAGE = 739 	| PSNR = 9.291277290981325	| SSIM = 0.05697077627908321
IMAGE = 740 	| PSNR = 7.720129962738423	| SSIM = 0.0402538296271143
IMAGE = 741 	| PSNR = 7.6176730888237145	| SSIM = 0.05828813265541329
IMAGE = 742 	| PSNR = 7.89704201688285	| SSIM = 0.08369985812669452
IMAGE = 743 	| PSNR = 7.520728305709009	| SSIM = 0.05175215866374491
IMAGE = 744 	| PSNR = 7.111013972830531	| SSIM = 0.04933811867886176
IMAGE = 745 	| PSNR = 8.057461084863732	| SSIM = 0.08328768738655867
IMAGE = 746 	| PSNR = 7.9620470279998194	| SSIM = 0.0790308322328158
IMAGE = 747 	| PSNR = 7.907102851702376	| SSIM = 0.056879913165432366
IMAGE = 748 	| PSNR = 8.821133291875366	| SSIM = 0.05645639969870306
IMAGE = 749 	| PSNR = 9.57743733086469	| SSIM = 0.05573864806817091
IMAGE = 750 	| PSNR = 8.27575552691032	| SSIM = 0.03865771305384193
-----------------------------
=>> MEAN PSNR = 7.922702980776354 	 =>> MEAN SSIM = 0.06408278445219351
