IMAGE = 701 	| PSNR = 10.916009675383938	| SSIM = 0.2949631004807418
IMAGE = 702 	| PSNR = 10.745850164422414	| SSIM = 0.3043447716170118
IMAGE = 703 	| PSNR = 9.764778062890253	| SSIM = 0.23774707044933333
IMAGE = 704 	| PSNR = 7.626953881656747	| SSIM = 0.13394994353736348
IMAGE = 705 	| PSNR = 6.679833717289255	| SSIM = 0.127116238559805
IMAGE = 706 	| PSNR = 7.49111247335427	| SSIM = 0.12417048070296394
IMAGE = 707 	| PSNR = 10.641726406737941	| SSIM = 0.27995167234348733
IMAGE = 708 	| PSNR = 8.021496314563937	| SSIM = 0.21476642221746337
IMAGE = 709 	| PSNR = 9.109030572861576	| SSIM = 0.2712454913033082
IMAGE = 710 	| PSNR = 7.237907558843666	| SSIM = 0.12288473900412059
IMAGE = 711 	| PSNR = 9.267609417649147	| SSIM = 0.2816441656384155
IMAGE = 712 	| PSNR = 7.462426606802911	| SSIM = 0.12532898764151856
IMAGE = 713 	| PSNR = 9.619218588198542	| SSIM = 0.2918552722803985
IMAGE = 714 	| PSNR = 9.370205079049583	| SSIM = 0.2686473560095468
IMAGE = 715 	| PSNR = 7.910190286534226	| SSIM = 0.18164785121536633
IMAGE = 716 	| PSNR = 6.741156101753475	| SSIM = 0.1387887120718996
IMAGE = 717 	| PSNR = 7.449533778641157	| SSIM = 0.13495650387762892
IMAGE = 718 	| PSNR = 8.740460255129609	| SSIM = 0.22965512445001926
IMAGE = 719 	| PSNR = 9.797440145425295	| SSIM = 0.2286777137461442
IMAGE = 720 	| PSNR = 9.360167180180465	| SSIM = 0.25728834329742084
IMAGE = 721 	| PSNR = 8.802031367358016	| SSIM = 0.2067365732719713
IMAGE = 722 	| PSNR = 9.289380920921653	| SSIM = 0.2642069126235773
IMAGE = 723 	| PSNR = 9.75504060391425	| SSIM = 0.2712027792802627
IMAGE = 724 	| PSNR = 10.340780452080844	| SSIM = 0.282074209803875
IMAGE = 725 	| PSNR = 7.8241425320134015	| SSIM = 0.17417336148039028
IMAGE = 726 	| PSNR = 8.878340502714734	| SSIM = 0.20765817775414572
IMAGE = 727 	| PSNR = 7.192637614633172	| SSIM = 0.1556744167764984
IMAGE = 728 	| PSNR = 7.399629420084979	| SSIM = 0.13213894454657713
IMAGE = 729 	| PSNR = 8.518321225523465	| SSIM = 0.1994294028910537
IMAGE = 730 	| PSNR = 9.03408796793943	| SSIM = 0.22741168906752604
IMAGE = 731 	| PSNR = 9.513313746648887	| SSIM = 0.25163158311428063
IMAGE = 732 	| PSNR = 9.120670001485705	| SSIM = 0.2282169596399683
IMAGE = 733 	| PSNR = 9.194871549920629	| SSIM = 0.2402103244682234
IMAGE = 734 	| PSNR = 9.82602441535003	| SSIM = 0.24970574785701016
IMAGE = 735 	| PSNR = 10.635912161603155	| SSIM = 0.29021678244612714
IMAGE = 736 	| PSNR = 9.114710820274215	| SSIM = 0.24717672826132386
IMAGE = 737 	| PSNR = 7.4798159656929535	| SSIM = 0.17785330742257008
IMAGE = 738 	| PSNR = 7.900451305993476	| SSIM = 0.15652479680992426
IMAGE = 739 	| PSNR = 7.0808116387611655	| SSIM = 0.12736154075326458
IMAGE = 740 	| PSNR = 8.22772336512362	| SSIM = 0.1767159328909208
IMAGE = 741 	| PSNR = 9.230364850047549	| SSIM = 0.2544511283759897
IMAGE = 742 	| PSNR = 9.413968773976208	| SSIM = 0.2928563526413936
IMAGE = 743 	| PSNR = 8.691249835014887	| SSIM = 0.20577342958939257
IMAGE = 744 	| PSNR = 9.523855441727545	| SSIM = 0.2541460179617757
IMAGE = 745 	| PSNR = 10.042556647619822	| SSIM = 0.28955664715833623
IMAGE = 746 	| PSNR = 10.397323126263593	| SSIM = 0.31465934992728495
IMAGE = 747 	| PSNR = 8.435711599048744	| SSIM = 0.24533661287658684
IMAGE = 748 	| PSNR = 7.450199221127104	| SSIM = 0.1818551511975204
IMAGE = 749 	| PSNR = 8.03337279221222	| SSIM = 0.0842091838962702
IMAGE = 750 	| PSNR = 7.7679404819597355	| SSIM = 0.13979934825817228
-----------------------------
=>> MEAN PSNR = 8.761366932288071 	 =>> MEAN SSIM = 0.21557186706972342
