IMAGE = 701 	| PSNR = 25.428231919735445	| SSIM = 0.7563905860267267
IMAGE = 702 	| PSNR = 25.354820573291676	| SSIM = 0.7554637012518691
IMAGE = 703 	| PSNR = 27.10110155938431	| SSIM = 0.7510519741297342
IMAGE = 704 	| PSNR = 26.97997470509126	| SSIM = 0.6869128554570522
IMAGE = 705 	| PSNR = 27.493248479114193	| SSIM = 0.6320961456306408
IMAGE = 706 	| PSNR = 26.810458065720546	| SSIM = 0.7419135936751107
IMAGE = 707 	| PSNR = 22.444809955003358	| SSIM = 0.6705937274985628
IMAGE = 708 	| PSNR = 25.054559842413482	| SSIM = 0.8053859238454513
IMAGE = 709 	| PSNR = 24.131749653273324	| SSIM = 0.8084867143445993
IMAGE = 710 	| PSNR = 24.12303011626726	| SSIM = 0.6107818820675952
IMAGE = 711 	| PSNR = 24.081209096395856	| SSIM = 0.7762901618856022
IMAGE = 712 	| PSNR = 26.40525981459062	| SSIM = 0.6802868113834619
IMAGE = 713 	| PSNR = 24.529663911082654	| SSIM = 0.7635884476356094
IMAGE = 714 	| PSNR = 24.524585536782403	| SSIM = 0.7660009434693827
IMAGE = 715 	| PSNR = 26.059389274641752	| SSIM = 0.7569227050326811
IMAGE = 716 	| PSNR = 27.59990579631079	| SSIM = 0.7285620938652961
IMAGE = 717 	| PSNR = 25.18769258865257	| SSIM = 0.7082766814926167
IMAGE = 718 	| PSNR = 23.671266371756076	| SSIM = 0.7896632179343568
IMAGE = 719 	| PSNR = 21.50596369896523	| SSIM = 0.6403411747299051
IMAGE = 720 	| PSNR = 23.36140807046755	| SSIM = 0.7997780197879762
IMAGE = 721 	| PSNR = 21.683714136859926	| SSIM = 0.6653204916604724
IMAGE = 722 	| PSNR = 23.63864131244517	| SSIM = 0.7881024736655909
IMAGE = 723 	| PSNR = 24.1957824159651	| SSIM = 0.7538896793257235
IMAGE = 724 	| PSNR = 24.62196358756143	| SSIM = 0.7414358944679418
IMAGE = 725 	| PSNR = 26.536670126980795	| SSIM = 0.6867119815252732
IMAGE = 726 	| PSNR = 25.166010287408326	| SSIM = 0.7489732380229515
IMAGE = 727 	| PSNR = 25.948704578474345	| SSIM = 0.7251370405928544
IMAGE = 728 	| PSNR = 24.487803120593394	| SSIM = 0.6724683601272182
IMAGE = 729 	| PSNR = 23.023517750722103	| SSIM = 0.7431359687895442
IMAGE = 730 	| PSNR = 22.9365269595733	| SSIM = 0.761062795139449
IMAGE = 731 	| PSNR = 21.83694075480359	| SSIM = 0.6878670508613972
IMAGE = 732 	| PSNR = 21.691056852660054	| SSIM = 0.6557526594165515
IMAGE = 733 	| PSNR = 23.370923833705533	| SSIM = 0.7611013074549315
IMAGE = 734 	| PSNR = 23.951572151097462	| SSIM = 0.7401115351702142
IMAGE = 735 	| PSNR = 24.555733668036034	| SSIM = 0.7414266858808227
IMAGE = 736 	| PSNR = 24.899243941543936	| SSIM = 0.7442678340873722
IMAGE = 737 	| PSNR = 25.70617976198686	| SSIM = 0.7257211621408376
IMAGE = 738 	| PSNR = 26.555334861028427	| SSIM = 0.6804764239241502
IMAGE = 739 	| PSNR = 25.336494472826423	| SSIM = 0.6495418842171591
IMAGE = 740 	| PSNR = 23.423175342718984	| SSIM = 0.6981453068171191
IMAGE = 741 	| PSNR = 23.800998868897327	| SSIM = 0.7366030825427616
IMAGE = 742 	| PSNR = 24.74639147694656	| SSIM = 0.7491281477768189
IMAGE = 743 	| PSNR = 21.809957303045028	| SSIM = 0.6658422353531894
IMAGE = 744 	| PSNR = 21.850409887441003	| SSIM = 0.688368543525571
IMAGE = 745 	| PSNR = 25.20554747744808	| SSIM = 0.7573242710796197
IMAGE = 746 	| PSNR = 25.270219469400747	| SSIM = 0.7674969387342416
IMAGE = 747 	| PSNR = 24.672690526821253	| SSIM = 0.7693944217759562
IMAGE = 748 	| PSNR = 27.088356332886136	| SSIM = 0.7262750741046632
IMAGE = 749 	| PSNR = 25.482153364223862	| SSIM = 0.630810538432552
IMAGE = 750 	| PSNR = 23.150739472879867	| SSIM = 0.6635947773832521
-----------------------------
=>> MEAN PSNR = 24.56983566251843 	 =>> MEAN SSIM = 0.7230855033028085
