IMAGE = 701 	| PSNR = 35.23238366117873	| SSIM = 0.8992890680929362
IMAGE = 702 	| PSNR = 35.12498568616675	| SSIM = 0.8955233471441492
IMAGE = 703 	| PSNR = 35.94339278285772	| SSIM = 0.8948113001045293
IMAGE = 704 	| PSNR = 35.24677760765053	| SSIM = 0.8751456948373763
IMAGE = 705 	| PSNR = 34.52775487415983	| SSIM = 0.8321716879008056
IMAGE = 706 	| PSNR = 36.65834780433646	| SSIM = 0.9031093475912507
IMAGE = 707 	| PSNR = 31.4630115699981	| SSIM = 0.9094066884782285
IMAGE = 708 	| PSNR = 36.39142696513103	| SSIM = 0.9492227288693416
IMAGE = 709 	| PSNR = 35.8933677281612	| SSIM = 0.9502886505018282
IMAGE = 710 	| PSNR = 33.94293846937614	| SSIM = 0.8469267474009975
IMAGE = 711 	| PSNR = 36.05058204651709	| SSIM = 0.928017478914245
IMAGE = 712 	| PSNR = 35.38594866729844	| SSIM = 0.8676213629702496
IMAGE = 713 	| PSNR = 34.96314843912235	| SSIM = 0.9206769999719794
IMAGE = 714 	| PSNR = 35.38193986131346	| SSIM = 0.921731040876117
IMAGE = 715 	| PSNR = 36.393321707492554	| SSIM = 0.9266976273139107
IMAGE = 716 	| PSNR = 36.274674105593995	| SSIM = 0.902194894409883
IMAGE = 717 	| PSNR = 36.4669893970194	| SSIM = 0.9231400312779674
IMAGE = 718 	| PSNR = 35.859716890851274	| SSIM = 0.9719898654739956
IMAGE = 719 	| PSNR = 31.692138065678943	| SSIM = 0.9506782218303628
IMAGE = 720 	| PSNR = 35.37768631334479	| SSIM = 0.9701853460871114
IMAGE = 721 	| PSNR = 32.55683117926731	| SSIM = 0.9466827442373177
IMAGE = 722 	| PSNR = 35.192579614923666	| SSIM = 0.9539897679504921
IMAGE = 723 	| PSNR = 34.47346948764859	| SSIM = 0.9202601961360823
IMAGE = 724 	| PSNR = 33.77266623087313	| SSIM = 0.9015892154670038
IMAGE = 725 	| PSNR = 35.35787576779847	| SSIM = 0.8641516625057072
IMAGE = 726 	| PSNR = 35.41085408014037	| SSIM = 0.9325366052472207
IMAGE = 727 	| PSNR = 35.941332217913384	| SSIM = 0.9253403240514352
IMAGE = 728 	| PSNR = 36.07847397373881	| SSIM = 0.9264000630667731
IMAGE = 729 	| PSNR = 36.216413322492606	| SSIM = 0.9758929169675267
IMAGE = 730 	| PSNR = 35.55645056749426	| SSIM = 0.966861811667904
IMAGE = 731 	| PSNR = 32.2019172346982	| SSIM = 0.9555016969653232
IMAGE = 732 	| PSNR = 32.791734762099544	| SSIM = 0.9616380864035303
IMAGE = 733 	| PSNR = 34.8602631466501	| SSIM = 0.9544318712261647
IMAGE = 734 	| PSNR = 34.25924092715229	| SSIM = 0.9239306788474991
IMAGE = 735 	| PSNR = 33.87174587833936	| SSIM = 0.9059496276671426
IMAGE = 736 	| PSNR = 35.774694206058754	| SSIM = 0.9323346258977435
IMAGE = 737 	| PSNR = 36.14690441597332	| SSIM = 0.9275305136873975
IMAGE = 738 	| PSNR = 35.02861023920401	| SSIM = 0.8618381527665392
IMAGE = 739 	| PSNR = 35.90528678503236	| SSIM = 0.9100494446984526
IMAGE = 740 	| PSNR = 36.40476693346687	| SSIM = 0.9672955339873239
IMAGE = 741 	| PSNR = 36.006188805717784	| SSIM = 0.94593799104761
IMAGE = 742 	| PSNR = 35.58275911444317	| SSIM = 0.9185227205924088
IMAGE = 743 	| PSNR = 33.35463703579998	| SSIM = 0.9519946147371352
IMAGE = 744 	| PSNR = 32.66712539739548	| SSIM = 0.9601709924355964
IMAGE = 745 	| PSNR = 35.92496255267556	| SSIM = 0.9026135627952604
IMAGE = 746 	| PSNR = 35.76868914052996	| SSIM = 0.9060377758262472
IMAGE = 747 	| PSNR = 36.891600324069756	| SSIM = 0.9297871817873237
IMAGE = 748 	| PSNR = 36.21694783597928	| SSIM = 0.9069701327181726
IMAGE = 749 	| PSNR = 35.88408772521118	| SSIM = 0.8767361778472919
IMAGE = 750 	| PSNR = 36.03706304766793	| SSIM = 0.9361204222329087
-----------------------------
=>> MEAN PSNR = 35.12813409187409 	 =>> MEAN SSIM = 0.9217585048302361
